,INDICE,NOMBRE,POTENCIA,LONG,LAT,x,y
0,0,Afisa,132,-62.05055138888888,-30.94053988888889,149,177
1,1,ET. Arroyito,132,-63.022358,-31.41885688888889,126,164
2,2,ET. Carlos Paz,132,-64.48239522222222,-31.411954416666664,92,164
3,3,ET. Elena,132,-64.4133585,-32.55301577777777,94,132
4,4,ET. Falda del Cañete,132,-64.46373277777778,-31.522774694444443,92,160
5,5,ET. General Cabrera,132,-63.853668722222224,-32.79733172222222,107,126
6,6,ET. General Deheza,132,-63.80507508333333,-32.76345386111111,108,127
7,7,Central General Levalle,132,-63.921912166666665,-34.03610716666667,106,92
8,8,ET. Isla Verde,132,-62.39521666666666,-33.242452472222226,141,114
9,9,ET. Jesus Maria,132,-64.1027333611111,-30.998081777777777,101,175
10,10,ET. JUSTINIANO POSSE,132,-62.777794638888885,-32.86377183333334,132,124
11,11,ET. La Falda,132,-64.47590677777778,-31.099133388888887,92,172
12,12,Central La Viña,132,-65.03651197222221,-31.87145938888889,79,151
13,13,ET. Las Varillas,132,-62.72902711111112,-31.881347583333334,133,151
14,14,ET. Leones,132,-62.30445975,-32.66701686111111,143,129
15,15,ET. Los Molinos,132,-64.44486805555556,-31.83811511111111,93,152
16,16,ET. Mendiolaza,132,-64.27121336111111,-31.264679527777776,97,168
17,17,ET. Morteros,132,-62.00541111111111,-30.71695,151,183
18,18,ET. Pilar,132,-63.83252461111111,-31.66744177777778,107,157
19,19,Central Bicentenario,132,-63.83095236111112,-31.66497633333333,107,157
20,20,ET. PROMAIZ,132,-63.70620877777778,-33.36225038888889,111,110
21,21,ET. Reolin,132,-64.32318727777778,-32.1881765,96,142
22,22,ET. San Antonio,132,-64.51229827777777,-31.46555833333333,91,162
23,23,ET. Tancacha,132,-63.98149572222223,-32.251069638888886,104,141
24,24,ET. Villa del Totoral,132,-64.07042088888889,-30.70131897222222,101,183
25,25,ET. Villa Dolores,132,-65.16426427777779,-31.97085397222222,76,148
26,26,Central Villa Maria,132,-63.19263905555555,-32.43135805555556,123,136
27,27,ET. Maranzana II,132,-64.36606425,-33.16074836111111,96,115
28,28,E.T. Achiras,132,-65.08529405555555,-33.21168416666667,79,114
29,29,ET. Alta Gracia,66,-64.42369883333333,-31.665058194444445,94,157
30,30,ET. Adelia Maria,66,-64.01331041666667,-33.634091472222224,104,103
31,31,E.T. ALEJANDRO ROCA,66,-63.71257861111111,-33.32469447222223,111,111
32,32,ET. Alejo Ledesma,66,-62.61622372222222,-33.578781222222226,136,104
33,33,E.T. Arroyo Algodon,66,-63.15780161111111,-32.19775783333333,123,142
34,34,ET. Arias,66,-62.41274638888888,-33.63324905555556,141,103
35,35,ET. Arroyito,66,-63.022358,-31.41885688888889,126,164
36,36,ET. Ausonia,66,-63.24527458333333,-32.658363055555554,121,130
37,37,ET. Balnearia,66,-62.670782,-31.01177897222222,135,175
38,38,ET. BellVille,66,-62.68661925,-32.610524222222224,134,131
39,39,ET. Buchardo,66,-63.509177638888886,-34.724736944444444,116,73
40,40,ET. Bower,66,-64.24376380555556,-31.547047694444448,98,160
41,41,ET. Brinkman,66,-62.032399222222224,-30.86208055555556,150,179
42,42,ET. Bruzzone,66,-64.37886044444444,-34.42308644444444,96,81
43,43,ET. Canals,66,-62.88130666666667,-33.54884,130,105
44,44,ET. Capilla del Monte,66,-64.53635544444444,-30.881170222222224,90,178
45,45,ET. Cassaffouth,66,-64.37417472222222,-32.175719027777774,95,143
46,46,ET. Chazon,66,-63.27144458333333,-33.083970111111114,121,118
47,47,ET. Chuña,66,-64.67541611111112,-30.47992561111111,87,189
48,48,ET. Coronel Moldes,66,-64.58858041666666,-33.61365697222222,91,103
49,49,ET. Cosquin,66,-64.45805355555555,-31.24162875,92,168
50,50,ET. Cruz del Eje,66,-64.80083375,-30.728921472222225,84,182
51,51,ET. Cura Brochero,66,-65.02581475,-31.710349277777777,79,155
52,52,ET. Dean Funes,66,-64.35326747222221,-30.416676833333334,94,191
53,53,ET. Devoto,66,-62.30679641666666,-31.413071638888887,143,164
